Shankarrao,Kharat,male,NULL ,http://worldcat.org/identities/lccn-n82001592/,https://www.firstpost.com/living/shankarrao-kharats-literary-legacy-giving-words-to-the-dalit-experience-in-maharashtra-4111981.html
Dagdu Maruti,Pawar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q5208476,https://www.worldcat.org/identities/lccn-n84207830,NULL 
Laxman,Mane,male,https://www.wikidata.org/wiki/Special:EntityPage/Q6505160,https://www.worldcat.org/identities/lccn-n81143258/,NULL 
Gopal,Godse,male,NULL ,https://www.worldcat.org/identities/lccn-n81119049,NULL 
Arvind,Patwardhan,male,NULL ,NULL ,NULL 
Waman Krushna,Chorghade,male,https://www.wikidata.org/wiki/Special:EntityPage/Q19813992,https://www.worldcat.org/identities/lccn-n79150462,NULL 
Anil,Barve,male,NULL ,http://worldcat.org/identities/lccn-n82111311/,NULL 
Madhukar,Javadekar,male,NULL ,NULL ,NULL 
Bhal,Patil,male,NULL ,NULL ,NULL 
Namdev,Dhasal,male,https://www.wikidata.org/wiki/Special:EntityPage/Q6961489,https://www.worldcat.org/identities/lccn-n82012204,NULL 
Madhav,Kondivilkar,male,NULL ,http://worldcat.org/identities/lccn-n80025384,https://maharashtratimes.com/editorial/samwad/obituary-of-madhav-kondvilkar/articleshow/78205691.cms
Baburao,Bagul,male,https://www.wikidata.org/wiki/Special:EntityPage/Q4838108,https://www.worldcat.org/identities/lccn-n82039809,NULL 
Shaila,Belles,female,NULL ,NULL ,NULL 
Subhas,Bhende,male,https://www.wikidata.org/wiki/Special:EntityPage/Q7631212,https://www.worldcat.org/identities/lccn-n82094568,NULL 
Prabhakar,Pendharkar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q16018886,NULL ,NULL 
Achyuat,Barve,male,NULL ,NULL ,NULL 
Sampat,Jadhav,NULL ,NULL ,NULL ,NULL 
G.P.,Pradhan,male,NULL ,http://worldcat.org/identities/lccn-n82018112/,NULL 
Anant,Manohar,male,NULL ,NULL ,NULL 
Sushila,Gokhale-Patel,female,NULL ,NULL ,NULL 
H.M.,Marathe,male,https://www.wikidata.org/wiki/Special:EntityPage/Q41635177,https://www.worldcat.org/identities/lccn-n81097843,NULL 
Anand,Yadav,male,https://www.wikidata.org/wiki/Q55713,https://www.worldcat.org/identities/lccn-n82012295,NULL 
G.N.,Dandekar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q5584190,https://www.worldcat.org/identities/lccn-n84164142,NULL 
G.V,Behere,NULL ,NULL ,NULL ,NULL 
Anil,Barwe,NULL ,NULL ,NULL ,NULL 
Arun,Sadhu,male,https://www.wikidata.org/wiki/Special:EntityPage/Q55773,https://www.worldcat.org/identities/lccn-n85337709,NULL 
Balchandra,Nemade,male,https://www.wikidata.org/wiki/Special:EntityPage/Q3630368,https://www.worldcat.org/identities/lccn-n81033415,NULL 
Raja,Rajwade,male,NULL ,NULL ,https://www.marathisrushti.com/articles/raja-rajwade/
C.T.,Khanolkar,male,NULL ,NULL ,https://www.wikidata.org/wiki/Special:EntityPage/Q5101325
Vasant Abaji,Dahake,male,https://www.wikidata.org/wiki/Special:EntityPage/Q7916321,https://www.worldcat.org/identities/lccn-n82111330,NULL 
