English,English,Written,Roman,en,eng,eng,https://www.wikidata.org/wiki/Special:EntityPage/Q1860
ગુજરાતી,Gujarati,written,"devnagari, gujarati, arabic and persian  ",gu,guj,guj,https://www.wikidata.org/wiki/Special:EntityPage/Q5137
"हिन्दी,",Hindi,written,devnagiri ,hi,hin,hin,https://www.wikidata.org/wiki/Special:EntityPage/Q1568
मराठी,Marathi,written,balbodh version of the devnagiri ,mr,mar,mar,https://www.wikidata.org/wiki/Special:EntityPage/Q396316
বাংলা ,Bangla or Bengali,written,Bengali ,bn,ben,ben,https://www.wikidata.org/wiki/Special:EntityPage/Q9610
سنڌي‎,Sindhi,written,"Arabic, Persian, Gujarati, Devnagiri, Khudabadi",sd,snd,snd,https://www.wikidata.org/wiki/Special:EntityPage/Q33997
ಕನ್ನಡ,Kannada,written,Kannada ,kn,kan,kan,https://www.wikidata.org/wiki/Special:EntityPage/Q33673
